name,info,imageUrl,openingHours,country,city,zipCode,address,province,lat,lon,phone,fax,email,website,facebook,google,linkedin,instagram,twitter,tags,priority,createdAt,dealerEditUrl
"Tradelink Airlie Beach",,,,"Australia","Airlie Beach","4800","Galbraith Park Drive","Queensland","-20.2918941","148.6703275","07 4847 5220",,"airliebeach@tradelink.com.au",,,,,,,,,"2023-02-07T15:31:37.000Z",
"Tradelink Albany",,,,"Australia","Albany","6330","Lockyer Avenue 137","Western Australia","-35.013872","117.885146","08 9729 4320",,"albany@tradelink.com.au",,,,,,,,,"2023-02-07T15:31:37.000Z",
"Tradelink Albert Park",,,,"Australia",,"5014","966 Port Rd, Albert Park","South Australia","-34.8758","138.526452","08 8193 7940",,"albertpark@tradelink.com.au",,,,,,,"Showroom with Product Display",,"2023-02-07T15:31:37.000Z",
"Tradelink Albury",,,,"Australia","Albury","2641","Urana Road 351","New South Wales","-36.04894","146.93071","02 6092 2500",,"albury@tradelink.com.au",,,,,,,,,"2023-02-07T15:31:37.000Z",
"Tradelink Alexandria (incl Civil)",,,,"Australia","Sydney","2015","Bourke Road 69a","New South Wales","-33.91602","151.189512","02 9305 9050",,"alexandria@tradelink.com.au",,,,,,,,,"2023-02-07T15:31:37.000Z",
"Tradelink Balcatta",,,,"Australia","Perth","6021","Bendsten Place 6","Western Australia","-31.858028","115.80626","08 9416 9620",,"balcatta@tradelink.com.au",,,,,,,,,"2023-02-07T15:31:37.000Z",
"Tradelink Batemans Bay",,,,"Australia","Batemans Bay","2536","Vesper Street","New South Wales","-35.7091164","150.173418","02 4276 7220",,"batemansbay@tradelink.com.au",,,,,,,,,"2023-02-07T15:31:37.000Z",
"Tradelink Bathurst",,,,"Australia","Bathurst","2795","Russell Street 167","New South Wales","-33.420798","149.582276","02 6330 7800",,"bathurst@tradelink.com.au",,,,,,,,,"2023-02-07T15:31:37.000Z",
"Tradelink Bayswater",,,,"Australia","Melbourne","3153","Canterbury Road 280","Victoria","-37.830749","145.272124","03 8773 3420",,"bayswater@tradelink.com.au",,,,,,,"Showroom with Product Display",,"2023-02-07T15:31:37.000Z",
"Tradelink Bega",,,,"Australia","Bega","2550","Auckland Street 82","New South Wales","-36.673069","149.841371","02 4276 7240",,"bega@tradelink.com.au",,,,,,,,,"2023-02-07T15:31:37.000Z",
"Tradelink Belmont",,,,"Australia","Perth","6104","Belgravia Street 94","Western Australia","-31.9492","115.928452","08 9260 2640",,"belmont@tradelink.com.au",,,,,,,,,"2023-02-07T15:31:37.000Z",
"Tradelink Berrimah",,,,"Australia","Darwin","0828","Stuart Highway","Northern Territory","-12.4321466","130.917747680591","08 8995 8020",,"berrimah@tradelink.com.au",,,,,,,,,"2023-02-07T15:31:37.000Z",
"Tradelink Bowen Hills",,,,"Australia","Brisbane","4006","Montpelier Road 74","Queensland","-27.449301","153.039423","07 3850 2320",,"bowenhills@tradelink.com.au",,,,,,,"Showroom with Product Display",,"2023-02-07T15:31:37.000Z",
"Tradelink Brendale",,,,"Australia","Brisbane","4500","South Pine Road","Queensland","-27.31357","152.9853841","07 3513 5020",,"brendale@tradelink.com.au",,,,,,,,,"2023-02-07T15:31:37.000Z",
"Tradelink Broadmeadow",,,,"Australia","Newcastle","2292","Lambton Road 142","New South Wales","-32.923039","151.725259","02 4088 4600",,"broadmeadow@tradelink.com.au",,,,,,,,,"2023-02-07T15:31:37.000Z",
"Tradelink Brookvale",,,,"Australia","Sydney","2100","Brookvale Avenue","New South Wales","-33.7621989","151.2662742","02 9666 2840",,"brookvale@tradelink.com.au",,,,,,,,,"2023-02-07T15:31:37.000Z",
"Tradelink Broome",,,,"Australia","Broome","6725","Clementson Street 18","Western Australia","-17.971856","122.220229","08 9194 5700",,"broome@tradelink.com.au",,,,,,,,,"2023-02-07T15:31:37.000Z",
"Tradelink Bunbury",,,,"Australia","Bunbury","6230","Albert Lane","Western Australia","-33.3347484","115.6473761","08 9729 4300",,"bunbury@tradelink.com.au",,,,,,,,,"2023-02-07T15:31:37.000Z",
