name,address,city,state,postcode,country,phone,email,website,has_showroom,tags,lat,lon
Tradelink Airlie Beach,Galbraith Park Drive,Airlie Beach,Queensland,4800,Australia,07 4847 5220,airliebeach@tradelink.com.au,,FALSE,,-20.2918941,148.6703275
Tradelink Albany,Lockyer Avenue 137,Albany,Western Australia,6330,Australia,08 9729 4320,albany@tradelink.com.au,,FALSE,,-35.013872,117.885146
Tradelink Albert Park,966 Port Rd,Albert Park,South Australia,5014,Australia,08 8193 7940,albertpark@tradelink.com.au,,TRUE,Showroom with Product Display,-34.8757495,138.5264577
Tradelink Albury,Urana Road 351,Albury,New South Wales,2641,Australia,02 6092 2500,albury@tradelink.com.au,,FALSE,,-36.04894,146.93071
Tradelink Alexandria (incl Civil),Bourke Road 69a,Sydney,New South Wales,2015,Australia,02 9305 9050,alexandria@tradelink.com.au,,FALSE,,-33.91602,151.189512
Tradelink Balcatta,Bendsten Place 6,Perth,Western Australia,6021,Australia,08 9416 9620,balcatta@tradelink.com.au,,FALSE,,-31.858028,115.80626
Tradelink Batemans Bay,Vesper Street,Batemans Bay,New South Wales,2536,Australia,02 4276 7220,batemansbay@tradelink.com.au,,FALSE,,-35.7091164,150.173418
Tradelink Bathurst,Russell Street 167,Bathurst,New South Wales,2795,Australia,02 6330 7800,bathurst@tradelink.com.au,,FALSE,,-33.420798,149.582276
Tradelink Bayswater,Canterbury Road 280,Melbourne,Victoria,3153,Australia,03 8773 3420,bayswater@tradelink.com.au,,TRUE,Showroom with Product Display,-37.830749,145.272124
Tradelink Bega,Auckland Street 82,Bega,New South Wales,2550,Australia,02 4276 7240,bega@tradelink.com.au,,FALSE,,-36.673069,149.841371
Tradelink Belmont,Belgravia Street 94,Perth,Western Australia,6104,Australia,08 9260 2640,belmont@tradelink.com.au,,FALSE,,-31.9492,115.928452
Tradelink Berrimah,Stuart Highway,Darwin,Northern Territory,0828,Australia,08 8995 8020,berrimah@tradelink.com.au,,FALSE,,-12.4368699,130.9315808
Tradelink Bowen Hills,Montpelier Road 74,Brisbane,Queensland,4006,Australia,07 3850 2320,bowenhills@tradelink.com.au,,TRUE,Showroom with Product Display,-27.449301,153.039423
Tradelink Brendale,South Pine Road,Brisbane,Queensland,4500,Australia,07 3513 5020,brendale@tradelink.com.au,,FALSE,,-27.31357,152.9853841
Tradelink Broadmeadow,Lambton Road 142,Newcastle,New South Wales,2292,Australia,02 4088 4600,broadmeadow@tradelink.com.au,,FALSE,,-32.923039,151.725259
Tradelink Brookvale,Brookvale Avenue,Sydney,New South Wales,2100,Australia,02 9666 2840,brookvale@tradelink.com.au,,FALSE,,-33.7621989,151.2662742
Tradelink Broome,Clementson Street 18,Broome,Western Australia,6725,Australia,08 9194 5700,broome@tradelink.com.au,,FALSE,,-17.971856,122.220229
Tradelink Bunbury,Albert Lane,Bunbury,Western Australia,6230,Australia,08 9729 4300,bunbury@tradelink.com.au,,FALSE,,-33.3347484,115.6473761
Tradelink Bundaberg,Bargara Road,Bundaberg,Queensland,4670,Australia,07 4331 5100,bundaberg@tradelink.com.au,,FALSE,,-24.85575285,152.374165
Tradelink Burleigh,Newcastle Street 12,Gold Coast,Queensland,4220,Australia,07 5558 4520,burleigh@tradelink.com.au,,TRUE,Showroom with Product Display,-28.102138,153.424308
Tradelink Byron Bay,Banksia Lane,Byron Bay,New South Wales,2481,Australia,02 6691 6720,byronbay@tradelink.com.au,,FALSE,,-28.67432255,153.6124875
Tradelink Caboolture,Torrens Road 8,Brisbane,Queensland,4510,Australia,07 5470 3820,caboolture@tradelink.com.au,,FALSE,,-27.096114,152.940124
Tradelink Cairns Anderson St (incl Civil),Anderson Street 130,Cairns,Queensland,4870,Australia,07 4058 5800,anderson@tradelink.com.au,,FALSE,,-16.915757,145.743969
Tradelink Camp Hill,Old Cleveland Road 472,Brisbane,Queensland,4152,Australia,07 3850 2380,camphill@tradelink.com.au,,FALSE,,-27.491485,153.067313
Tradelink Campbelltown (incl Civil),Airds Road 175,Sydney,New South Wales,2560,Australia,02 4726 4840,campbelltown@tradelink.com.au,,FALSE,,-34.047506,150.830854
Tradelink Canning Vale,Bannister Road 176,Perth,Western Australia,6155,Australia,08 9234 3520,canningvale@tradelink.com.au,,FALSE,,-32.059557,115.908985
Tradelink Capalaba,Redland Bay Road 120,Brisbane,Queensland,4157,Australia,07 3086 7540,capalaba@tradelink.com.au,,TRUE,Showroom with Product Display,-27.530041,153.197471
Tradelink Carrum Downs,Levida Drive 5,Melbourne,Victoria,3201,Australia,03 5984 6460,carrumdowns@tradelink.com.au,,TRUE,Showroom with Product Display,-38.098084,145.169429
Tradelink Castle Hill Showroom,"Unit 4, 19 Victoria Avenue, Castle Hill 2154",Castle Hill Showroom,New South Wales,2154,Australia,02 8848 6220,,,TRUE,Showroom with Product Display,-33.73309123,150.9812846
Tradelink Centenary,Sumner Road,Brisbane,Queensland,4074,Australia,07 3819 6320,centenary@tradelink.com.au,,FALSE,,-27.5614901,152.9327106
Tradelink Clontarf,Macdonnell Road 303,Brisbane,Queensland,4019,Australia,07 3513 5040,clontarf@tradelink.com.au,,TRUE,Showroom with Product Display,-27.23424,153.083366
Tradelink Coconut Grove,"Unit 2/8 Osgood Dr, Eaton NT",Coconut Grove,Northern Territory,0820,Australia,08 8995 8080,coconutgrove@tradelink.com.au,,FALSE,,-12.3978999,130.8621583
Tradelink Coffs Harbour,Marcia Street 28,Coffs Harbour,New South Wales,2450,Australia,02 6691 6700,coffsharbour@tradelink.com.au,,FALSE,,-30.289783,153.117439
Tradelink Coopers Plains,Boniface Street 17,Brisbane,Queensland,4108,Australia,07 3086 7580,coopersplains@tradelink.com.au,,FALSE,,-27.559645,153.019511
